ANIO_REGIS,ENT_OCURR,SEXO,TOTAL,00_04,05_14,15_24,25_44,45_64,>65
2028,3,Mujeres,457925,35720,72504,70747,138886,99986,40082
2028,3,Total,928205,72322,145122,144278,291921,199927,74635
2028,4,Hombres,557111,45056,93274,90202,174450,110541,43588
2028,4,Mujeres,569203,43588,90325,88690,175864,119563,51173
2028,4,Total,1126314,88644,183599,178892,350314,230104,94761
2028,5,Hombres,1763435,152638,306761,286141,510245,357209,150441
2028,5,Mujeres,1779336,146893,294002,273069,499958,389506,175908
2028,5,Total,3542771,299531,600763,559210,1010203,746715,326349
2028,6,Hombres,437011,33652,71001,71162,132685,91163,37348
2028,6,Mujeres,438563,32247,67100,66569,131890,97342,43415
2028,6,Total,875574,65899,138101,137731,264575,188505,80763
2028,7,Hombres,3104361,321481,631928,562131,863922,514467,210432
2028,7,Mujeres,3258780,310342,612854,562421,935200,598541,239422
2028,7,Total,6363141,631823,1244782,1124552,1799122,1113008,449854
2028,8,Hombres,2000983,151431,317513,333071,600231,420280,178457
2028,8,Mujeres,2049023,145994,308294,325941,599176,457901,211717
2028,8,Total,4050006,297425,625807,659012,1199407,878181,390174
2028,9,Hombres,4209770,227255,483178,576438,1322676,1064246,535977
2028,9,Mujeres,4629696,218313,463592,562437,1359113,1282528,743713
2028,9,Total,8839466,445568,946770,1138875,2681789,2346774,1279690
2028,10,Hombres,976097,78363,165765,170911,285506,191516,84036
2028,10,Mujeres,1007466,75596,160319,167171,291421,212601,100358
2028,10,Total,1983563,153959,326084,338082,576927,404117,184394
2028,11,Hombres,3211943,262396,562504,554425,951653,624494,256471
2028,11,Mujeres,3381543,252875,538930,539736,1008079,723390,318533
2028,11,Total,6593486,515271,1101434,1094161,1959732,1347884,575004
2028,12,Hombres,1800190,154909,331081,328103,508284,321876,155937
2028,12,Mujeres,1923462,149226,316803,320191,555268,386650,195324
2028,12,Total,3723652,304135,647884,648294,1063552,708526,351261
2028,13,Hombres,1615000,129285,275419,274707,461354,325458,148777
2028,13,Mujeres,1731227,124599,264741,268652,501708,390535,180992
2028,13,Total,3346227,253884,540160,543359,963062,715993,329769
2028,14,Hombres,4424018,335491,721673,743174,1351513,896853,375314
2028,14,Mujeres,4560978,323296,695918,722614,1355495,996357,467298
2028,14,Total,8984996,658787,1417591,1465788,2707008,1893210,842612
2028,15,Hombres,9107680,651983,1407643,1470048,2787069,1978277,812660
2028,15,Mujeres,9540645,629197,1356808,1423216,2874033,2271095,986296
2028,15,Total,18648325,1281180,2764451,2893264,5661102,4249372,1798956
2028,16,Hombres,2459815,215694,445356,422862,687059,467141,221703
2028,16,Mujeres,2596852,208046,428370,417550,742067,536452,264367
2028,16,Total,5056667,423740,873726,840412,1429126,1003593,486070
2028,17,Hombres,1066950,82133,172705,171814,317228,217358,105712
2028,17,Mujeres,1129348,79286,166234,166235,329112,257445,131036
2028,17,Total,2196298,161419,338939,338049,646340,474803,236748
2028,18,Hombres,710214,56227,120340,120178,210948,141025,61496
2028,18,Mujeres,710428,54093,115869,115155,205233,151326,68752
2028,18,Total,1420642,110320,236209,235333,416181,292351,130248
2028,19,Hombres,3083671,230091,469863,493898,960105,665014,264700
2028,19,Mujeres,3095986,221313,453082,476665,919797,706999,318130
2028,19,Total,6179657,451404,922945,970563,1879902,1372013,582830
2028,20,Hombres,2059434,173837,364134,361880,575670,391271,192642
2028,20,Mujeres,2238430,167922,351616,360199,642596,474124,241973
2028,20,Total,4297864,341759,715750,722079,1218266,865395,434615
2028,21,Hombres,3392359,284299,593961,599555,1004407,635576,274561
2028,21,Mujeres,3649047,274219,573074,590830,1076291,774640,359993
2028,21,Total,7041406,558518,1167035,1190385,2080698,1410216,634554
2028,22,Hombres,1271735,98416,208382,212809,402421,253054,96653
2028,22,Mujeres,1307238,94425,197419,200966,406494,289004,118930
2028,22,Total,2578973,192841,405801,413775,808915,542058,215583
2028,23,Hombres,1015291,76801,160333,167067,343540,203071,64479
2028,23,Mujeres,995187,73780,154205,159405,325045,212276,70476
2028,23,Total,2010478,150581,314538,326472,668585,415347,134955
2028,24,Hombres,1464458,116882,246172,245115,427717,290682,137890
2028,24,Mujeres,1540433,112680,237392,240834,450107,335726,163694
2028,24,Total,3004891,229562,483564,485949,877824,626408,301584
2028,25,Hombres,1654186,122234,255898,272813,494900,350588,157753
2028,25,Mujeres,1681706,117947,246339,258735,487909,382258,188518
2028,25,Total,3335892,240181,502237,531548,982809,732846,346271
2028,26,Hombres,1662508,124731,258436,268389,505183,354627,151142
2028,26,Mujeres,1686168,120159,250053,263355,501780,374030,176791
2028,26,Total,3348676,244890,508489,531744,1006963,728657,327933
2028,27,Hombres,1363444,111583,231974,229557,403124,276073,111133
2028,27,Mujeres,1413075,107564,222855,219574,420151,314109,128822
2028,27,Total,2776519,219147,454829,449131,823275,590182,239955
2028,28,Hombres,1905640,152957,307044,311335,547719,410716,175869
2028,28,Mujeres,1960280,147347,297143,303162,546635,452553,213440
2028,28,Total,3865920,300304,604187,614497,1094354,863269,389309
2028,29,Hombres,728121,58181,123218,123468,219350,143902,60002
2028,29,Mujeres,766630,55926,117745,120213,229514,170441,72791
2028,29,Total,1494751,114107,240963,243681,448864,314343,132793
2028,30,Hombres,4284370,325583,701399,698596,1230260,891555,436977
2028,30,Mujeres,4569039,314202,675591,672638,1303119,1062168,541321
2028,30,Total,8853409,639785,1376990,1371234,2533379,1953723,978298
2028,31,Hombres,1199689,85870,180860,189595,379571,254874,108919
2028,31,Mujeres,1246099,83101,177442,186900,381290,284302,133064
2028,31,Total,2445788,168971,358302,376495,760861,539176,241983
2028,32,Hombres,857250,74079,154618,149454,237167,165299,76633
