ANIO_REGIS,ENT_OCURR,SEXO,TOTAL,00_04,05_14,15_24,25_44,45_64,>65
2004,20,Hombres,1730535,206206,428020,332127,419785,238121,106276
2004,20,Mujeres,1861364,200374,420629,358961,488559,266925,125916
2004,20,Total,3591899,406580,848649,691088,908344,505046,232192
2004,21,Hombres,2633236,328353,633114,513690,684181,340116,133782
2004,21,Mujeres,2821821,318115,620094,549644,780737,384517,168714
2004,21,Total,5455057,646468,1253208,1063334,1464918,724633,302496
2004,22,Hombres,771852,90628,180058,153101,218680,97671,31714
2004,22,Mujeres,813702,87489,176690,163965,242345,104401,38812
2004,22,Total,1585554,178117,356748,317066,461025,202072,70526
2004,23,Hombres,549865,62867,118338,111572,178252,64074,14762
2004,23,Mujeres,524795,61039,113462,107844,169487,58611,14352
2004,23,Total,1074660,123906,231800,219416,347739,122685,29114
2004,24,Hombres,1196371,143090,284144,226108,306566,165006,71457
2004,24,Mujeres,1253707,138654,276976,239527,343472,175630,79448
2004,24,Total,2450078,281744,561120,465635,650038,340636,150905
2004,25,Hombres,1323859,140229,289547,253887,372449,195929,71818
2004,25,Mujeres,1326223,135270,276873,251812,386096,198766,77406
2004,25,Total,2650082,275499,566420,505699,758545,394695,149224
2004,26,Hombres,1212742,130978,257608,225954,357684,179357,61161
2004,26,Mujeres,1195684,125544,245219,220866,357433,179233,67389
2004,26,Total,2408426,256522,502827,446820,715117,358590,128550
2004,27,Hombres,999647,113750,228456,199219,282767,131783,43672
2004,27,Mujeres,1019655,109819,222736,209218,301903,130536,45443
2004,27,Total,2019302,223569,451192,408437,584670,262319,89115
2004,28,Hombres,1503299,162194,313851,282885,452765,215139,76465
2004,28,Mujeres,1522876,156579,301292,283482,466950,224890,89683
2004,28,Total,3026175,318773,615143,566367,919715,440029,166148
2004,29,Hombres,522703,62288,121718,103441,143092,65888,26276
2004,29,Mujeres,548035,60180,117884,108490,159699,71224,30558
2004,29,Total,1070738,122468,239602,211931,302791,137112,56834
2004,30,Hombres,3524142,383144,790342,656301,948252,539242,206861
2004,30,Mujeres,3733262,370001,765978,694716,1075433,583047,244087
2004,30,Total,7257404,753145,1556320,1351017,2023685,1122289,450948
2004,31,Hombres,904605,94884,193989,177466,253193,131268,53805
2004,31,Mujeres,918819,91560,186884,178317,264965,138222,58871
2004,31,Total,1823424,186444,380873,355783,518158,269490,112676
2004,32,Hombres,680878,81669,160807,128376,172890,92439,44697
2004,32,Mujeres,721958,78844,157246,140185,197882,99500,48301
2004,32,Total,1402836,160513,318053,268561,370772,191939,92998
2005,1,Hombres,528887,64950,125059,101901,145328,68900,22749
2005,1,Mujeres,557911,62522,121594,107077,162778,75670,28270
2005,1,Total,1086798,127472,246653,208978,308106,144570,51019
2005,2,Hombres,1453932,155306,303706,279094,464874,196079,54873
2005,2,Mujeres,1416496,149643,289909,270962,446813,195619,63550
2005,2,Total,2870428,304949,593615,550056,911687,391698,118423
2005,3,Hombres,265359,27179,53752,51159,85120,37769,10380
2005,3,Mujeres,251381,26121,50625,47907,80503,35132,11093
2005,3,Total,516740,53300,104377,99066,165623,72901,21473
2005,4,Hombres,385415,41767,84668,75157,110098,54329,19396
2005,4,Mujeres,388566,40448,82310,77269,115561,53640,19338
2005,4,Total,773981,82215,166978,152426,225659,107969,38734
2005,5,Hombres,1275567,140357,272031,238955,375329,186383,62512
2005,5,Mujeres,1282265,135315,260832,234852,386995,192690,71581
2005,5,Total,2557832,275672,532863,473807,762324,379073,134093
2005,6,Hombres,287853,29812,60483,54944,83516,43637,15461
2005,6,Mujeres,292509,28600,57489,55803,88785,44450,17382
2005,6,Total,580362,58412,117972,110747,172301,88087,32843
2005,7,Hombres,2165101,279611,544974,436411,546511,266362,91232
2005,7,Mujeres,2218643,271560,532488,458396,596153,266852,93194
2005,7,Total,4383744,551171,1077462,894807,1142664,533214,184426
2005,8,Hombres,1651719,180617,353433,310262,491747,234116,81544
2005,8,Mujeres,1653280,173381,338610,303643,497356,246383,93907
2005,8,Total,3304999,353998,692043,613905,989103,480499,175451
2005,9,Hombres,4285439,360555,761890,781395,1389152,741485,250962
2005,9,Mujeres,4629565,347565,737239,796970,1512048,864139,371604
2005,9,Total,8915004,708120,1499129,1578365,2901200,1605624,622566
2005,10,Hombres,763789,89420,176637,145424,201582,106769,43957
2005,10,Mujeres,788245,85942,170405,149388,221182,113857,47471
2005,10,Total,1552034,175362,347042,294812,422764,220626,91428
2005,11,Hombres,2409197,294981,576801,462996,632182,316720,125517
2005,11,Mujeres,2618188,285836,569992,513126,744556,354349,150329
2005,11,Total,5027385,580817,1146793,976122,1376738,671069,275846
2005,12,Hombres,1555947,195811,393140,301295,371821,206400,87480
2005,12,Mujeres,1655519,190429,385837,322378,427021,226620,103234
2005,12,Total,3211466,386240,778977,623673,798842,433020,190714
2005,13,Hombres,1164858,133028,266026,218866,309780,172276,64882
2005,13,Mujeres,1247076,128544,260545,238509,359578,183382,76518
2005,13,Total,2411934,261572,526571,457375,669358,355658,141400
2005,14,Hombres,3375595,387853,746502,648935,936157,477082,179066
2005,14,Mujeres,3535006,373915,722559,671723,1026580,523422,216807
2005,14,Total,6910601,761768,1469061,1320658,1962737,1000504,395873
2005,15,Hombres,6993668,757332,1508297,1356100,2107526,985338,279075
2005,15,Mujeres,7266082,730899,1462217,1393366,2277198,1053923,348479
2005,15,Total,14259750,1488231,2970514,2749466,4384724,2039261,627554
2005,16,Hombres,1966212,231109,462106,375943,497478,276230,123346
2005,16,Mujeres,2128451,224085,456760,415287,583850,305307,143162
2005,16,Total,4094663,455194,918866,791230,1081328,581537,266508
2005,17,Hombres,796704,85105,173816,149660,219408,121573,47142
2005,17,Mujeres,852057,82084,168900,158804,251808,133708,56753
2005,17,Total,1648761,167189,342716,308464,471216,255281,103895
2005,18,Hombres,485738,53012,106092,91030,130026,74403,31175
2005,18,Mujeres,491564,51226,101717,92477,138305,75388,32451
2005,18,Total,977302,104238,207809,183507,268331,149791,63626
2005,19,Hombres,2147426,219790,424726,398770,675766,322120,106254
2005,19,Mujeres,2142192,212007,407326,389560,673950,332490,126859
2005,19,Total,4289618,431797,832052,788330,1349716,654610,233113
2005,20,Hombres,1738344,203138,423472,333527,423431,245084,109692
2005,20,Mujeres,1876406,197259,416489,360909,496242,275240,130267
2005,20,Total,3614750,400397,839961,694436,919673,520324,239959
2005,21,Hombres,2664678,328026,632881,518519,695297,352123,137832
2005,21,Mujeres,2862496,317475,619885,555147,797627,398472,173890
2005,21,Total,5527174,645501,1252766,1073666,1492924,750595,311722
2005,22,Hombres,790434,91261,181491,156128,225341,103120,33093
2005,22,Mujeres,834411,87962,177898,166939,250724,110398,40490
2005,22,Total,1624845,179223,359389,323067,476065,213518,73583
2005,23,Hombres,572036,64150,121230,115649,186370,68959,15678
2005,23,Mujeres,547511,62282,116283,111836,178334,63396,15380
2005,23,Total,1119547,126432,237513,227485,364704,132355,31058
2005,24,Hombres,1208716,142370,283291,227770,310737,170676,73872
2005,24,Mujeres,1269806,137856,276189,241238,350056,182160,82307
2005,24,Total,2478522,280226,559480,469008,660793,352836,156179
2005,25,Hombres,1333441,138803,287233,253775,376350,202855,74425
2005,25,Mujeres,1338385,133859,274717,251531,391167,206881,80230
2005,25,Total,2671826,272662,561950,505306,767517,409736,154655
2005,26,Hombres,1232810,131716,259262,228049,363423,186900,63460
2005,26,Mujeres,1216288,126127,246624,222447,363857,187163,70070
2005,26,Total,2449098,257843,505886,450496,727280,374063,133530
2005,27,Hombres,1010588,113317,227176,200402,286805,137520,45368
2005,27,Mujeres,1032953,109175,221188,210268,308358,136536,47428
2005,27,Total,2043541,222492,448364,410670,595163,274056,92796
2005,28,Hombres,1532049,163382,316372,286278,462237,224493,79287
2005,28,Mujeres,1552589,157787,303634,286013,477639,234408,93108
2005,28,Total,3084638,321169,620006,572291,939876,458901,172395
2005,29,Hombres,532621,62792,122533,104806,146423,68929,27138
2005,29,Mujeres,560056,60598,118641,110034,164523,74638,31622
2005,29,Total,1092677,123390,241174,214840,310946,143567,58760
2005,30,Hombres,3549216,380397,784414,658038,953646,557802,214919
2005,30,Mujeres,3771762,366927,760118,696384,1090264,604251,253818
2005,30,Total,7320978,747324,1544532,1354422,2043910,1162053,468737
2005,31,Hombres,921264,94980,194472,180478,259309,136519,55506
2005,31,Mujeres,936449,91654,187255,180835,271993,143958,60754
2005,31,Total,1857713,186634,381727,361313,531302,280477,116260
2005,32,Hombres,684391,81103,159028,128264,174920,95211,45865
2005,32,Mujeres,726267,78275,155516,139794,200588,102519,49575
2005,32,Total,1410658,159378,314544,268058,375508,197730,95440
2006,1,Hombres,540205,65302,126070,104059,148817,72319,23638
2006,1,Mujeres,569806,62766,122490,108862,166914,79453,29321
2006,1,Total,1110011,128068,248560,212921,315731,151772,52959
2006,2,Hombres,1488300,156659,307287,284785,475545,206873,57151
2006,2,Mujeres,1451346,150844,293526,276317,458657,205740,66262
2006,2,Total,2939646,307503,600813,561102,934202,412613,123413
2006,3,Hombres,276017,27994,55163,52976,88734,40241,10909
2006,3,Mujeres,261784,26915,52021,49565,84130,37493,11660
2006,3,Total,537801,54909,107184,102541,172864,77734,22569
2006,4,Hombres,391285,41761,84473,76100,112191,56650,20110
2006,4,Mujeres,395309,40350,82071,78162,118490,56108,20128
2006,4,Total,786594,82111,166544,154262,230681,112758,40238
2006,5,Hombres,1297157,141144,273587,241919,381471,194252,64784
2006,5,Mujeres,1305500,136039,262492,237468,394485,200886,74130
2006,5,Total,2602657,277183,536079,479387,775956,395138,138914
2006,6,Hombres,293521,29989,60649,55844,85368,45628,16043
2006,6,Mujeres,298335,28781,57662,56502,90851,46491,18048
2006,6,Total,591856,58770,118311,112346,176219,92119,34091
2006,7,Hombres,2205777,282128,548564,444370,557728,277414,95573
2006,7,Mujeres,2266564,273830,536217,466679,612948,278957,97933
2006,7,Total,4472341,555958,1084781,911049,1170676,556371,193506
2006,8,Hombres,1668652,180689,353378,312212,496012,242500,83861
2006,8,Mujeres,1672949,173402,338868,305622,503321,255090,96646
2006,8,Total,3341601,354091,692246,617834,999333,497590,180507
2006,9,Hombres,4295971,356083,751744,777164,1387418,764547,259015
2006,9,Mujeres,4645821,343012,727012,789858,1514025,889974,381940
2006,9,Total,8941792,699095,1478756,1567022,2901443,1654521,640955
2006,10,Hombres,772678,89113,176065,147088,204781,110384,45247
2006,10,Mujeres,797581,85646,169848,150512,224769,117901,48905
2006,10,Total,1570259,174759,345913,297600,429550,228285,94152
2006,11,Hombres,2449356,295264,577427,470515,646232,330078,129840
2006,11,Mujeres,2661654,285907,570057,518518,761894,369721,155557
2006,11,Total,5111010,581171,1147484,989033,1408126,699799,285397
2006,12,Hombres,1570741,194252,390869,304711,377116,213148,90645
2006,12,Mujeres,1672035,188793,383639,324885,433739,234001,106978
2006,12,Total,3242776,383045,774508,629596,810855,447149,197623
2006,13,Hombres,1184440,133384,266101,222064,316113,179356,67422
2006,13,Mujeres,1270075,128808,260557,241179,368485,191531,79515
2006,13,Total,2454515,262192,526658,463243,684598,370887,146937
2006,14,Hombres,3427192,388906,746760,657116,954271,495407,184732
2006,14,Mujeres,3586940,374627,722564,676847,1045784,543739,223379
2006,14,Total,7014132,763533,1469324,1333963,2000055,1039146,408111
2006,15,Hombres,7091592,759775,1510257,1368593,2134563,1027434,290970
2006,15,Mujeres,7380967,733002,1464225,1403058,2317084,1101082,362516
2006,15,Total,14472559,1492777,2974482,2771651,4451647,2128516,653486
2006,16,Hombres,1984597,229317,457921,379228,505534,285627,126970
2006,16,Mujeres,2147317,222206,452388,416469,592994,315783,147477
2006,16,Total,4131914,451523,910309,795697,1098528,601410,274447
2006,17,Hombres,807557,84830,173427,151499,222547,126376,48878
2006,17,Mujeres,864319,81667,168407,160048,256083,139244,58870
2006,17,Total,1671876,166497,341834,311547,478630,265620,107748
2006,18,Hombres,494189,53453,106136,92342,133004,77058,32196
2006,18,Mujeres,499939,51578,101755,93476,141331,78258,33541
2006,18,Total,994128,105031,207891,185818,274335,155316,65737
2006,19,Hombres,2187553,221602,428285,403251,687878,336198,110339
2006,19,Mujeres,2184090,213666,410817,393339,687764,346877,131627
2006,19,Total,4371643,435268,839102,796590,1375642,683075,241966
2006,20,Hombres,1752975,201697,419929,336246,429055,252611,113437
2006,20,Mujeres,1896737,195639,413142,363416,505284,284142,135114
2006,20,Total,3649712,397336,833071,699662,934339,536753,248551
2006,21,Hombres,2694249,326510,631684,524075,705805,364237,141938
2006,21,Mujeres,2900519,315697,618698,560187,813828,412878,179231
2006,21,Total,5594768,642207,1250382,1084262,1519633,777115,321169
2006,22,Hombres,810071,91931,182876,159619,232125,108850,34670
2006,22,Mujeres,855966,88551,179078,169966,259128,116815,42428
2006,22,Total,1666037,180482,361954,329585,491253,225665,77098
2006,23,Hombres,593639,65527,123828,119673,194102,73866,16643
2006,23,Mujeres,569661,63578,118867,115781,186881,68133,16421
2006,23,Total,1163300,129105,242695,235454,380983,141999,33064
2006,24,Hombres,1221523,141281,281866,230284,315295,176513,76284
2006,24,Mujeres,1284550,136650,274730,243015,356294,188762,85099
2006,24,Total,2506073,277931,556596,473299,671589,365275,161383
2006,25,Hombres,1343988,137763,284888,254544,380189,209608,76996
2006,25,Mujeres,1351000,132733,272606,251987,395927,214620,83127
2006,25,Total,2694988,270496,557494,506531,776116,424228,160123
2006,26,Hombres,1254884,132332,260868,231381,369604,194909,65790
2006,26,Mujeres,1238306,126622,248070,225007,370449,195346,72812
2006,26,Total,2493190,258954,508938,456388,740053,390255,138602
2006,27,Hombres,1026267,113650,227068,202486,291932,143863,47268
2006,27,Mujeres,1051222,109349,220893,211945,316102,143311,49622
2006,27,Total,2077489,222999,447961,414431,608034,287174,96890
2006,28,Hombres,1556165,164155,317757,289203,469395,233775,81880
2006,28,Mujeres,1578746,158452,305063,288306,486719,243902,96304
2006,28,Total,3134911,322607,622820,577509,956114,477677,178184
2006,29,Hombres,541432,63034,123049,106132,149223,71998,27996
2006,29,Mujeres,570898,60763,119147,111282,168802,78214,32690
2006,29,Total,1112330,123797,242196,217414,318025,150212,60686
2006,30,Hombres,3580936,377574,778153,663003,962630,576701,222875
2006,30,Mujeres,3812405,363897,754049,699508,1105882,625644,263425
2006,30,Total,7393341,741471,1532202,1362511,2068512,1202345,486300
2006,31,Hombres,934297,94606,193993,182608,264384,141503,57203
2006,31,Mujeres,951302,91359,186894,182575,278338,149439,62697
2006,31,Total,1885599,185965,380887,365183,542722,290942,119900
2006,32,Hombres,691434,80929,157947,129324,177887,98328,47019
2006,32,Mujeres,733108,78080,154403,140070,203795,105890,50870
2006,32,Total,1424542,159009,312350,269394,381682,204218,97889
2007,1,Hombres,550779,65295,126601,106446,152143,75748,24546
2007,1,Mujeres,580487,62668,122892,110649,170664,83256,30358
2007,1,Total,1131266,127963,249493,217095,322807,159004,54904
2007,2,Hombres,1518516,157301,309356,289957,484109,218224,59569
2007,2,Mujeres,1482417,151262,295781,281020,468991,216238,69125
2007,2,Total,3000933,308563,605137,570977,953100,434462,128694
2007,3,Hombres,288756,29005,56904,55212,92948,43124,11563
2007,3,Mujeres,274357,27915,53797,51673,88402,40246,12324
2007,3,Total,563113,56920,110701,106885,181350,83370,23887
2007,4,Hombres,396533,41775,84039,76967,114014,58894,20844
2007,4,Mujeres,401014,40236,81523,78747,121066,58508,20934
2007,4,Total,797547,82011,165562,155714,235080,117402,41778
2007,5,Hombres,1318395,141581,274689,245450,387136,202425,67114
2007,5,Mujeres,1328889,136490,263792,240724,401611,209432,76840
2007,5,Total,2647284,278071,538481,486174,788747,411857,143954
2007,6,Hombres,301518,30430,61205,57253,87936,47941,16753
2007,6,Mujeres,306169,29204,58269,57605,93458,48795,18838
2007,6,Total,607687,59634,119474,114858,181394,96736,35591
2007,7,Hombres,2250278,285452,551947,453242,570756,288645,100236
2007,7,Mujeres,2317376,276859,539695,474863,631331,291346,103282
2007,7,Total,4567654,562311,1091642,928105,1202087,579991,203518
2007,8,Hombres,1680769,180206,352072,313926,497995,250755,85815
2007,8,Mujeres,1688337,173094,338078,307436,507611,263288,98830
2007,8,Total,3369106,353300,690150,621362,1005606,514043,184645
2007,9,Hombres,4292148,351082,739858,772050,1378926,784185,266047
2007,9,Mujeres,4649602,337889,715400,782035,1510405,913220,390653
2007,9,Total,8941750,688971,1455258,1554085,2889331,1697405,656700
2007,10,Hombres,782933,88771,175418,149520,208551,114227,46446
2007,10,Mujeres,807620,85410,169227,151971,228503,122181,50328
2007,10,Total,1590553,174181,344645,301491,437054,236408,96774
2007,11,Hombres,2504612,296176,579824,483061,665612,345342,134597
2007,11,Mujeres,2714204,286536,571292,526509,782031,386637,161199
2007,11,Total,5218816,582712,1151116,1009570,1447643,731979,295796
2007,12,Hombres,1594493,193865,389568,310838,385825,220461,93936
